year,value
2022,25
2023,27.5
2024,30.25
2025,33.275
2026,36.6025
2027,40.26275
2028,44.289025
2029,48.7179275
2030,53.58972025
2031,58.94869228
2032,64.8435615
2033,71.32791765
2034,78.46070942
2035,86.30678036
2036,94.9374584
2037,104.4312042
2038,114.8743247
2039,126.3617571
2040,138.9979328
2041,152.8977261
2042,168.1874987
2043,185.0062486
2044,203.5068735
2045,223.8575608
2046,246.2433169
2047,250
2048,250
2049,250
2050,250
2051,250
2052,250
2053,250
2054,250
2055,250
2056,250
2057,250
2058,250
2059,250
2060,250
2061,250
2062,250
2063,250
2064,250
2065,250
2066,250
2067,250
2068,250
2069,250
2070,250
2071,250
2072,250
2073,250
2074,250
2075,250
2076,250
2077,250
2078,250
2079,250
2080,250
2081,250
2082,250
2083,250
2084,250
2085,250
2086,250
2087,250
2088,250
2089,250
2090,250
2091,250
2092,250
2093,250
2094,250
2095,250
2096,250
2097,250
2098,250
2099,250
2100,250
